date,temperature_mean_c,temperature_max_c,precipitation_mm,snowfall_cm,cloud_cover_pct,wind_max_kmh,solar_radiation_mj_m2
2018-01-01,6.5,12.2,0.0,0.0,27.0,7.3,8.39
2018-01-02,8.4,15.1,0.0,0.0,67.0,10.0,6.86
2018-01-03,9.6,11.9,11.9,0.0,64.0,8.9,5.63
2018-01-04,9.1,12.1,2.5,0.0,82.0,7.6,5.83
2018-01-05,8.9,10.7,1.7,0.0,94.0,7.7,4.01
2018-01-06,7.7,13.3,0.0,0.0,28.0,6.7,8.78
2018-01-07,8.5,16.4,0.0,0.0,2.0,9.0,9.2
2018-01-08,8.1,14.5,0.0,0.0,58.0,6.5,7.86
2018-01-09,8.0,11.7,0.0,0.0,99.0,7.2,3.9
2018-01-10,8.7,11.8,0.0,0.0,100.0,8.7,4.56
2018-01-11,8.8,12.0,1.9,0.0,82.0,10.0,4.52
2018-01-12,10.1,10.8,7.6,0.0,96.0,5.7,2.11
2018-01-13,9.0,10.0,7.0,0.0,97.0,16.2,2.28
2018-01-14,5.5,6.5,8.7,0.84,97.0,14.5,3.18
2018-01-15,4.9,7.9,0.0,0.0,43.0,8.8,7.35
2018-01-16,6.9,10.1,4.6,0.0,85.0,9.7,4.18
2018-01-17,9.9,15.0,0.0,0.0,34.0,13.8,8.67
2018-01-18,6.9,11.6,20.9,3.43,88.0,20.2,2.14
2018-01-19,3.9,10.4,0.0,0.0,8.0,12.9,10.66
2018-01-20,7.6,14.6,0.0,0.0,37.0,11.2,10.18
2018-01-21,12.0,13.7,0.4,0.0,95.0,15.0,4.6
2018-01-22,9.4,11.0,10.4,0.0,99.0,10.8,2.64
2018-01-23,5.0,5.9,9.5,1.54,89.0,12.3,5.73
2018-01-24,3.4,4.6,4.0,2.03,52.0,16.5,7.0
2018-01-25,2.6,4.7,0.9,0.98,50.0,18.9,7.75
2018-01-26,2.3,5.6,0.0,0.0,50.0,15.1,6.85
2018-01-27,2.7,7.0,0.0,0.0,36.0,9.5,9.95
2018-01-28,3.1,8.1,0.0,0.0,39.0,6.1,9.77
2018-01-29,4.5,10.8,0.0,0.0,33.0,6.6,10.76
2018-01-30,6.2,15.1,0.0,0.0,2.0,7.9,11.34
2018-01-31,6.5,13.4,0.0,0.0,10.0,5.6,10.89
2018-02-01,8.2,17.5,0.0,0.0,6.0,9.5,11.93
2018-02-02,11.2,16.3,0.0,0.0,86.0,11.6,5.46
2018-02-03,14.1,18.8,0.0,0.0,78.0,13.8,7.36
2018-02-04,14.5,19.1,9.5,0.0,95.0,14.1,6.42
2018-02-05,8.7,10.9,10.3,0.0,91.0,9.8,4.89
2018-02-06,7.9,11.1,0.0,0.0,76.0,8.0,4.52
2018-02-07,9.9,16.2,2.9,0.0,65.0,10.0,10.48
2018-02-08,14.1,19.3,8.6,0.0,56.0,9.5,7.48
2018-02-09,10.0,16.0,0.0,0.0,73.0,6.9,12.25
2018-02-10,9.0,12.3,3.0,0.0,90.0,10.1,4.38
2018-02-11,11.8,16.3,11.7,0.0,75.0,13.8,8.78
2018-02-12,6.8,8.2,0.5,0.0,99.0,9.3,4.46
2018-02-13,7.6,11.0,0.0,0.0,83.0,8.1,8.78
2018-02-14,9.4,14.5,0.9,0.0,68.0,12.8,8.34
2018-02-15,10.0,14.0,0.0,0.0,81.0,8.4,8.13
2018-02-16,9.0,10.0,0.0,0.0,98.0,11.7,5.53
2018-02-17,8.4,9.3,0.0,0.0,99.0,9.2,4.72
2018-02-18,8.7,13.4,0.0,0.0,46.0,5.8,12.94
2018-02-19,7.7,11.6,0.0,0.0,98.0,9.4,9.03
2018-02-20,9.2,13.2,0.1,0.0,95.0,8.4,11.24
2018-02-21,10.5,14.7,3.1,0.0,88.0,9.1,11.02
2018-02-22,11.1,14.6,5.3,0.0,91.0,7.9,8.73
2018-02-23,9.8,10.7,0.0,0.0,99.0,9.7,4.31
2018-02-24,9.5,12.5,8.6,0.0,97.0,8.2,8.0
2018-02-25,6.0,7.9,6.5,0.63,96.0,12.2,5.18
2018-02-26,8.1,12.0,4.2,0.0,96.0,12.2,10.63
2018-02-27,7.1,8.6,5.6,0.07,83.0,11.4,7.33
2018-02-28,6.7,11.4,20.0,0.56,85.0,14.1,4.05
2018-03-01,2.5,5.7,1.3,0.91,82.0,7.6,11.36
2018-03-02,9.6,16.2,0.2,0.0,90.0,10.3,13.49
2018-03-03,15.0,20.5,4.6,0.0,75.0,26.6,13.77
2018-03-04,13.7,18.5,18.2,0.0,86.0,16.7,11.33
2018-03-05,11.8,15.5,0.5,0.0,94.0,9.2,8.43
2018-03-06,15.1,18.9,5.6,0.0,79.0,15.8,10.81
2018-03-07,17.9,23.6,1.0,0.0,47.0,17.7,15.51
2018-03-08,13.0,15.0,22.3,0.0,90.0,10.8,7.4
2018-03-09,11.4,14.2,0.9,0.0,88.0,7.4,9.09
2018-03-10,11.2,17.0,0.0,0.0,58.0,6.3,17.25
2018-03-11,11.8,19.4,0.0,0.0,36.0,8.0,17.45
2018-03-12,13.7,21.7,0.0,0.0,42.0,7.2,18.08
2018-03-13,14.9,18.1,5.0,0.0,63.0,11.2,11.4
2018-03-14,13.1,17.8,4.1,0.0,32.0,14.7,16.48
2018-03-15,10.8,13.9,4.3,0.0,58.0,11.7,14.08
2018-03-16,11.7,17.9,0.0,0.0,71.0,10.0,16.24
2018-03-17,17.8,24.3,0.0,0.0,78.0,12.3,18.44
2018-03-18,19.8,25.1,1.4,0.0,96.0,10.5,13.58
2018-03-19,14.8,19.5,0.8,0.0,59.0,7.9,15.85
2018-03-20,15.0,19.3,0.8,0.0,32.0,23.1,18.13
2018-03-21,13.8,21.0,0.0,0.0,53.0,12.8,19.76
2018-03-22,12.5,16.7,0.7,0.0,92.0,14.8,14.54
2018-03-23,12.6,18.0,6.7,0.0,63.0,11.5,11.86
2018-03-24,9.9,11.7,12.3,0.0,89.0,8.4,10.43
2018-03-25,11.1,14.0,7.6,0.0,89.0,9.4,11.92
2018-03-26,16.1,20.8,0.0,0.0,78.0,11.5,15.41
2018-03-27,14.6,18.5,4.1,0.0,48.0,16.9,15.84
2018-03-28,12.4,16.8,3.6,0.0,97.0,10.7,14.81
2018-03-29,8.6,9.9,16.2,0.0,98.0,12.6,2.64
2018-03-30,10.5,16.9,0.0,0.0,23.0,5.8,21.6
2018-03-31,14.4,22.7,0.0,0.0,55.0,9.6,20.88
2018-04-01,18.8,27.1,0.0,0.0,40.0,17.7,21.71
2018-04-02,13.2,16.4,10.3,0.0,42.0,14.5,19.59
2018-04-03,12.2,16.7,0.0,0.0,1.0,8.7,23.08
2018-04-04,12.5,20.6,0.0,0.0,21.0,6.5,22.83
2018-04-05,15.4,23.7,0.0,0.0,16.0,6.6,22.93
2018-04-06,16.2,23.2,1.8,0.0,52.0,9.4,20.6
2018-04-07,13.2,16.6,0.8,0.0,89.0,7.2,14.08
2018-04-08,12.9,15.9,0.3,0.0,96.0,9.4,16.35
2018-04-09,14.0,18.1,0.0,0.0,64.0,8.4,20.35
2018-04-10,15.5,21.9,0.0,0.0,10.0,6.6,22.33
2018-04-11,16.7,21.3,1.4,0.0,86.0,6.1,19.67
2018-04-12,19.3,23.8,1.1,0.0,27.0,7.8,21.14
2018-04-13,18.1,24.0,0.0,0.0,17.0,7.6,22.92
2018-04-14,15.8,20.6,0.0,0.0,27.0,8.7,23.46
2018-04-15,16.2,22.4,0.0,0.0,42.0,11.4,23.6
2018-04-16,16.6,23.8,0.0,0.0,40.0,9.8,24.78
2018-04-17,17.0,22.3,0.9,0.0,57.0,7.7,21.14
2018-04-18,14.6,19.1,0.0,0.0,56.0,9.0,22.89
2018-04-19,15.3,20.4,0.0,0.0,29.0,14.6,24.17
2018-04-20,11.8,15.2,7.7,0.0,44.0,14.2,12.58
2018-04-21,13.3,17.6,0.0,0.0,25.0,14.9,21.18
2018-04-22,14.3,21.4,0.0,0.0,1.0,7.4,25.41
2018-04-23,16.9,25.1,0.0,0.0,1.0,7.4,25.86
2018-04-24,18.5,26.1,0.0,0.0,1.0,8.6,25.64
2018-04-25,19.1,26.3,0.0,0.0,35.0,8.3,25.18
2018-04-26,19.7,26.4,0.0,0.0,23.0,8.7,24.25
2018-04-27,20.3,25.9,0.0,0.0,54.0,8.4,24.95
2018-04-28,19.7,25.9,0.0,0.0,16.0,14.8,26.23
2018-04-29,18.8,26.1,0.0,0.0,9.0,9.1,25.26
