source_row,date,product_id,product_name,raw_quantity,quantity,unit,parse_status,date_status,record_status,issue_type
7748,2025-02-21,12938454,$PINAR SUCUK FERMENTE 300 G,78 ADT,78.0,ADT,ok,ok,valid,high_value_review_candidate
8805,2025-02-28,12856214,DANET KAVURMA 100G,63 ADT,63.0,ADT,ok,ok,valid,high_value_review_candidate
8823,2025-02-28,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,229 ADT,229.0,ADT,ok,ok,valid,high_value_review_candidate
8994,2025-03-01,12856214,DANET KAVURMA 100G,117 ADT,117.0,ADT,ok,ok,valid,high_value_review_candidate
9008,2025-03-01,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,299 ADT,299.0,ADT,ok,ok,valid,high_value_review_candidate
9172,2025-03-02,12856214,DANET KAVURMA 100G,89 ADT,89.0,ADT,ok,ok,valid,high_value_review_candidate
9187,2025-03-02,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,295 ADT,295.0,ADT,ok,ok,valid,high_value_review_candidate
9340,2025-03-03,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,206 ADT,206.0,ADT,ok,ok,valid,high_value_review_candidate
9399,2025-03-04,10002452,NAMET SUCUK DANA KANGAL 200 G VAK,588 ADT,588.0,ADT,ok,ok,valid,high_value_review_candidate
9481,2025-03-04,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,192 ADT,192.0,ADT,ok,ok,valid,high_value_review_candidate
9632,2025-03-05,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,148 ADT,148.0,ADT,ok,ok,valid,high_value_review_candidate
9769,2025-03-06,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,173 ADT,173.0,ADT,ok,ok,valid,high_value_review_candidate
11202,2025-03-15,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,75 ADT,75.0,ADT,ok,ok,valid,high_value_review_candidate
12947,2025-03-26,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,72 ADT,72.0,ADT,ok,ok,valid,high_value_review_candidate
13168,2025-03-28,10002572,KEMIK KUZU KG(TOPTAN),"263,400 KG",263.4,KG,ok,ok,valid,high_value_review_candidate
13463,2025-03-29,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,87 ADT,87.0,ADT,ok,ok,valid,high_value_review_candidate
15520,2025-04-12,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,70 ADT,70.0,ADT,ok,ok,valid,high_value_review_candidate
17335,2025-04-25,10002572,KEMIK KUZU KG(TOPTAN),"360,000 KG",360.0,KG,ok,ok,valid,high_value_review_candidate
18598,2025-05-03,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,79 ADT,79.0,ADT,ok,ok,valid,high_value_review_candidate
19586,2025-05-10,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,109 ADT,109.0,ADT,ok,ok,valid,high_value_review_candidate
19764,2025-05-11,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,82 ADT,82.0,ADT,ok,ok,valid,high_value_review_candidate
20380,2025-05-16,10002572,KEMIK KUZU KG(TOPTAN),"168,700 KG",168.7,KG,ok,ok,valid,high_value_review_candidate
20609,2025-05-17,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,68 ADT,68.0,ADT,ok,ok,valid,high_value_review_candidate
20767,2025-05-18,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,85 ADT,85.0,ADT,ok,ok,valid,high_value_review_candidate
22285,2025-05-30,10002572,KEMIK KUZU KG(TOPTAN),"89,600 KG",89.6,KG,ok,ok,valid,high_value_review_candidate
23424,2025-06-06,76000465,KIYMA CEKME HIZMETI KG,"254,213 KG",254.213,KG,ok,ok,valid,high_value_review_candidate
23425,2025-06-06,76001114,DANA KEMIKLI ET ISLEME HIZMETI KG,"82,625 KG",82.625,KG,ok,ok,valid,high_value_review_candidate
23575,2025-06-07,76000465,KIYMA CEKME HIZMETI KG,"516,585 KG",516.585,KG,ok,ok,valid,high_value_review_candidate
23576,2025-06-07,76001114,DANA KEMIKLI ET ISLEME HIZMETI KG,"82,946 KG",82.946,KG,ok,ok,valid,high_value_review_candidate
26215,2025-06-27,10002572,KEMIK KUZU KG(TOPTAN),"248,800 KG",248.8,KG,ok,ok,valid,high_value_review_candidate
29391,2025-07-19,13172238,DANET SUCUK FERMENTE 300G COGR.ISR.,78 ADT,78.0,ADT,ok,ok,valid,high_value_review_candidate
29545,2025-07-20,13172238,DANET SUCUK FERMENTE 300G COGR.ISR.,73 ADT,73.0,ADT,ok,ok,valid,high_value_review_candidate
30243,2025-07-25,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,197 ADT,197.0,ADT,ok,ok,valid,high_value_review_candidate
30396,2025-07-26,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,250 ADT,250.0,ADT,ok,ok,valid,high_value_review_candidate
30526,2025-07-27,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,126 ADT,126.0,ADT,ok,ok,valid,high_value_review_candidate
30659,2025-07-28,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,95 ADT,95.0,ADT,ok,ok,valid,high_value_review_candidate
30930,2025-07-30,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,116 ADT,116.0,ADT,ok,ok,valid,high_value_review_candidate
31051,2025-07-31,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,174 ADT,174.0,ADT,ok,ok,valid,high_value_review_candidate
31200,2025-08-01,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,116 ADT,116.0,ADT,ok,ok,valid,high_value_review_candidate
31253,2025-08-02,10002572,KEMIK KUZU KG(TOPTAN),"332,600 KG",332.6,KG,ok,ok,valid,high_value_review_candidate
31352,2025-08-02,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,164 ADT,164.0,ADT,ok,ok,valid,high_value_review_candidate
31493,2025-08-03,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,124 ADT,124.0,ADT,ok,ok,valid,high_value_review_candidate
31623,2025-08-04,13814944,$POLONEZ DANA FERMENTE KASAP SUCUK 250 G,64 ADT,64.0,ADT,ok,ok,valid,high_value_review_candidate
32218,2025-08-09,11644334,KOFTE IZGARA INEGOL KG,"85,050 KG",85.05,KG,ok,ok,valid,high_value_review_candidate
32370,2025-08-10,11644334,KOFTE IZGARA INEGOL KG,"96,930 KG",96.93,KG,ok,ok,valid,high_value_review_candidate
34852,2025-08-28,10002572,KEMIK KUZU KG(TOPTAN),"134,360 KG",134.36,KG,ok,ok,valid,high_value_review_candidate
39916,2025-10-01,10002572,KEMIK KUZU KG(TOPTAN),"227,880 KG",227.88,KG,ok,ok,valid,high_value_review_candidate
41484,2025-10-11,11644334,KOFTE IZGARA INEGOL KG,"118,659 KG",118.659,KG,ok,ok,valid,high_value_review_candidate
41660,2025-10-12,11644334,KOFTE IZGARA INEGOL KG,"135,176 KG",135.176,KG,ok,ok,valid,high_value_review_candidate
44922,2025-11-04,10002572,KEMIK KUZU KG(TOPTAN),"337,396 KG",337.396,KG,ok,ok,valid,high_value_review_candidate
48991,2025-12-02,10002572,KEMIK KUZU KG(TOPTAN),"217,337 KG",217.337,KG,ok,ok,valid,high_value_review_candidate
53277,2025-12-30,11771905,HINDI BUTUN KG (PARCA BARKOD),"197,965 KG",197.965,KG,ok,ok,valid,high_value_review_candidate
53474,2025-12-31,11771905,HINDI BUTUN KG (PARCA BARKOD),"121,341 KG",121.341,KG,ok,ok,valid,high_value_review_candidate
54336,2026-01-06,10002572,KEMIK KUZU KG(TOPTAN),"243,300 KG",243.3,KG,ok,ok,valid,high_value_review_candidate
59479,2026-02-10,10002572,KEMIK KUZU KG(TOPTAN),"336,840 KG",336.84,KG,ok,ok,valid,high_value_review_candidate
60295,2026-02-15,12854028,SENPILIC P.TAB.FILETO KG,"132,998 KG",132.998,KG,ok,ok,valid,high_value_review_candidate
60600,2026-02-17,12854028,SENPILIC P.TAB.FILETO KG,"95,566 KG",95.566,KG,ok,ok,valid,high_value_review_candidate
60966,2026-02-19,13244988,POLONEZ PASTIRMA CEMENSIZ 100 G SECME,73 ADT,73.0,ADT,ok,ok,valid,high_value_review_candidate
61048,2026-02-20,10002611,KUZU CIKINTI YAG KG,"367,200 KG",367.2,KG,ok,ok,valid,high_value_review_candidate
61088,2026-02-20,11552083,DANA CIKINTI YAG KG,"1.673,200 KG",1673.2,KG,ok,ok,valid,high_value_review_candidate
61170,2026-02-20,14172576,A.IPEK PASTIRMA CEMENSIZ 100 G,110 ADT,110.0,ADT,ok,ok,valid,high_value_review_candidate
61293,2026-02-21,12854028,SENPILIC P.TAB.FILETO KG,"130,250 KG",130.25,KG,ok,ok,valid,high_value_review_candidate
61343,2026-02-21,14172576,A.IPEK PASTIRMA CEMENSIZ 100 G,107 ADT,107.0,ADT,ok,ok,valid,high_value_review_candidate
61467,2026-02-22,12854028,SENPILIC P.TAB.FILETO KG,"103,974 KG",103.974,KG,ok,ok,valid,high_value_review_candidate
61526,2026-02-22,14172576,A.IPEK PASTIRMA CEMENSIZ 100 G,130 ADT,130.0,ADT,ok,ok,valid,high_value_review_candidate
61658,2026-02-23,14172576,A.IPEK PASTIRMA CEMENSIZ 100 G,66 ADT,66.0,ADT,ok,ok,valid,high_value_review_candidate
62086,2026-02-26,14172576,A.IPEK PASTIRMA CEMENSIZ 100 G,111 ADT,111.0,ADT,ok,ok,valid,high_value_review_candidate
62243,2026-02-27,14172576,A.IPEK PASTIRMA CEMENSIZ 100 G,70 ADT,70.0,ADT,ok,ok,valid,high_value_review_candidate
62373,2026-02-28,12854028,SENPILIC P.TAB.FILETO KG,"95,056 KG",95.056,KG,ok,ok,valid,high_value_review_candidate
62433,2026-02-28,14172576,A.IPEK PASTIRMA CEMENSIZ 100 G,129 ADT,129.0,ADT,ok,ok,valid,high_value_review_candidate
62551,2026-03-01,12854028,SENPILIC P.TAB.FILETO KG,"106,544 KG",106.544,KG,ok,ok,valid,high_value_review_candidate
63060,2026-03-05,10002572,KEMIK KUZU KG(TOPTAN),"129,890 KG",129.89,KG,ok,ok,valid,high_value_review_candidate
63158,2026-03-05,14172576,A.IPEK PASTIRMA CEMENSIZ 100 G,72 ADT,72.0,ADT,ok,ok,valid,high_value_review_candidate
63428,2026-03-07,12854023,SENPILIC P.TAB.PIRZOLA KG,"91,458 KG",91.458,KG,ok,ok,valid,high_value_review_candidate
63606,2026-03-08,12854028,SENPILIC P.TAB.FILETO KG,"89,318 KG",89.318,KG,ok,ok,valid,high_value_review_candidate
63916,2026-03-10,12854028,SENPILIC P.TAB.FILETO KG,"101,926 KG",101.926,KG,ok,ok,valid,high_value_review_candidate
64076,2026-03-11,12854028,SENPILIC P.TAB.FILETO KG,"83,298 KG",83.298,KG,ok,ok,valid,high_value_review_candidate
64282,2026-03-13,10002014,DANA DOS KIYMALIK ET KG,"94,066 KG",94.066,KG,ok,ok,valid,high_value_review_candidate
64509,2026-03-14,10002873,LEZITA PILIC PIRZOLA KG,"100,918 KG",100.918,KG,ok,ok,valid,high_value_review_candidate
64805,2026-03-16,10002071,DANA AZ YAGLI KIYMALIK ET KG,"98,958 KG",98.958,KG,ok,ok,valid,high_value_review_candidate
67249,2026-04-02,10002572,KEMIK KUZU KG(TOPTAN),"438,200 KG",438.2,KG,ok,ok,valid,high_value_review_candidate
68580,2026-04-11,12854028,SENPILIC P.TAB.FILETO KG,"85,192 KG",85.192,KG,ok,ok,valid,high_value_review_candidate
69954,2026-04-21,10002014,DANA DOS KIYMALIK ET KG,"90,842 KG",90.842,KG,ok,ok,valid,high_value_review_candidate
70717,2026-04-26,12854023,SENPILIC P.TAB.PIRZOLA KG,"106,348 KG",106.348,KG,ok,ok,valid,high_value_review_candidate
71803,2026-05-04,10002572,KEMIK KUZU KG(TOPTAN),"302,570 KG",302.57,KG,ok,ok,valid,high_value_review_candidate
72458,2026-05-09,11644334,KOFTE IZGARA INEGOL KG,"96,370 KG",96.37,KG,ok,ok,valid,high_value_review_candidate
72644,2026-05-10,11644334,KOFTE IZGARA INEGOL KG,"89,500 KG",89.5,KG,ok,ok,valid,high_value_review_candidate
73324,2026-05-15,12854028,SENPILIC P.TAB.FILETO KG,"85,854 KG",85.854,KG,ok,ok,valid,high_value_review_candidate
73614,2026-05-17,12854028,SENPILIC P.TAB.FILETO KG,"115,878 KG",115.878,KG,ok,ok,valid,high_value_review_candidate
74706,2026-05-25,10002572,KEMIK KUZU KG(TOPTAN),"242,901 KG",242.901,KG,ok,ok,valid,high_value_review_candidate
75225,2026-05-28,76000465,KIYMA CEKME HIZMETI KG,"383,143 KG",383.143,KG,ok,ok,valid,high_value_review_candidate
75922,2026-06-04,10002572,KEMIK KUZU KG(TOPTAN),"151,200 KG",151.2,KG,ok,ok,valid,high_value_review_candidate
77259,2026-06-14,12854028,SENPILIC P.TAB.FILETO KG,"86,674 KG",86.674,KG,ok,ok,valid,high_value_review_candidate
