date,unit,total_quantity,product_count,rolling_7d_quantity
2023-01-01,ADT,188.0,55,188.0
2023-01-02,ADT,158.0,50,173.0
2023-01-03,ADT,151.0,51,165.66666666666666
2023-01-04,ADT,178.0,57,168.75
2023-01-05,ADT,185.0,50,172.0
2023-01-06,ADT,186.0,46,174.33333333333334
2023-01-07,ADT,289.0,66,190.71428571428572
2023-01-08,ADT,309.0,64,208.0
2023-01-09,ADT,164.0,46,208.85714285714286
2023-01-10,ADT,169.0,49,211.42857142857142
2023-01-11,ADT,177.0,53,211.28571428571428
2023-01-12,ADT,145.0,52,205.57142857142858
2023-01-13,ADT,192.0,66,206.42857142857142
2023-01-14,ADT,294.0,64,207.14285714285714
2023-01-15,ADT,252.0,52,199.0
2023-01-16,ADT,156.0,53,197.85714285714286
2023-01-17,ADT,192.0,61,201.14285714285714
2023-01-18,ADT,170.0,49,200.14285714285714
2023-01-19,ADT,164.0,51,202.85714285714286
2023-01-20,ADT,224.0,67,207.42857142857142
2023-01-21,ADT,280.0,65,205.42857142857142
2023-01-22,ADT,298.0,64,212.0
2023-01-23,ADT,171.0,55,214.14285714285714
2023-01-24,ADT,157.0,51,209.14285714285714
2023-01-25,ADT,160.0,44,207.71428571428572
2023-01-26,ADT,180.0,52,210.0
2023-01-27,ADT,219.0,64,209.28571428571428
2023-01-28,ADT,290.0,68,210.71428571428572
2023-01-29,ADT,247.0,67,203.42857142857142
2023-01-30,ADT,148.0,55,200.14285714285714
2023-01-31,ADT,163.0,42,201.0
2023-02-01,ADT,154.0,53,200.14285714285714
2023-02-02,ADT,155.0,46,196.57142857142858
2023-02-03,ADT,264.0,61,203.0
2023-02-04,ADT,434.0,64,223.57142857142858
2023-02-05,ADT,460.0,72,254.0
2023-02-06,ADT,257.0,55,269.57142857142856
2023-02-07,ADT,243.0,53,281.0
2023-02-08,ADT,232.0,54,292.14285714285717
2023-02-09,ADT,240.0,49,304.2857142857143
2023-02-10,ADT,213.0,58,297.0
2023-02-11,ADT,316.0,63,280.14285714285717
2023-02-12,ADT,221.0,57,246.0
2023-02-13,ADT,163.0,46,232.57142857142858
2023-02-14,ADT,183.0,43,224.0
2023-02-15,ADT,138.0,50,210.57142857142858
2023-02-16,ADT,209.0,53,206.14285714285714
2023-02-17,ADT,196.0,54,203.71428571428572
2023-02-18,ADT,278.0,75,198.28571428571428
2023-02-19,ADT,280.0,63,206.71428571428572
2023-02-20,ADT,192.0,49,210.85714285714286
2023-02-21,ADT,163.0,55,208.0
2023-02-22,ADT,152.0,48,210.0
2023-02-23,ADT,171.0,53,204.57142857142858
2023-02-24,ADT,161.0,59,199.57142857142858
2023-02-25,ADT,231.0,65,192.85714285714286
2023-02-26,ADT,219.0,65,184.14285714285714
2023-02-27,ADT,119.0,38,173.71428571428572
2023-02-28,ADT,213.0,58,180.85714285714286
2023-03-01,ADT,225.0,58,191.28571428571428
2023-03-02,ADT,187.0,59,193.57142857142858
2023-03-03,ADT,244.0,72,205.42857142857142
2023-03-04,ADT,262.0,73,209.85714285714286
2023-03-05,ADT,299.0,76,221.28571428571428
2023-03-06,ADT,209.0,63,234.14285714285714
2023-03-07,ADT,130.0,49,222.28571428571428
2023-03-08,ADT,193.0,47,217.71428571428572
2023-03-09,ADT,158.0,55,213.57142857142858
2023-03-10,ADT,238.0,65,212.71428571428572
2023-03-11,ADT,303.0,67,218.57142857142858
2023-03-12,ADT,329.0,71,222.85714285714286
2023-03-13,ADT,198.0,57,221.28571428571428
2023-03-14,ADT,212.0,60,233.0
2023-03-15,ADT,145.0,53,226.14285714285714
2023-03-16,ADT,153.0,58,225.42857142857142
2023-03-17,ADT,320.0,75,237.14285714285714
2023-03-18,ADT,461.0,85,259.7142857142857
2023-03-19,ADT,420.0,92,272.7142857142857
2023-03-20,ADT,2581.0,66,613.1428571428571
2023-03-21,ADT,262.0,61,620.2857142857143
2023-03-22,ADT,497.0,99,670.5714285714286
2023-03-23,ADT,390.0,75,704.4285714285714
2023-03-24,ADT,254.0,86,695.0
2023-03-25,ADT,328.0,86,676.0
2023-03-26,ADT,364.0,91,668.0
2023-03-27,ADT,173.0,61,324.0
2023-03-28,ADT,205.0,72,315.85714285714283
2023-03-29,ADT,261.0,75,282.14285714285717
2023-03-30,ADT,191.0,64,253.71428571428572
2023-03-31,ADT,223.0,63,249.28571428571428
2023-04-01,ADT,304.0,69,245.85714285714286
2023-04-02,ADT,378.0,74,247.85714285714286
2023-04-03,ADT,205.0,62,252.42857142857142
2023-04-04,ADT,174.0,53,248.0
2023-04-05,ADT,245.0,63,245.71428571428572
2023-04-06,ADT,242.0,60,253.0
2023-04-07,ADT,246.0,69,256.2857142857143
2023-04-08,ADT,246.0,69,248.0
2023-04-09,ADT,385.0,77,249.0
2023-04-10,ADT,203.0,63,248.71428571428572
2023-04-11,ADT,192.0,59,251.28571428571428
2023-04-12,ADT,211.0,65,246.42857142857142
2023-04-13,ADT,158.0,61,234.42857142857142
2023-04-14,ADT,207.0,56,228.85714285714286
2023-04-15,ADT,271.0,75,232.42857142857142
2023-04-16,ADT,347.0,90,227.0
2023-04-17,ADT,218.0,69,229.14285714285714
2023-04-18,ADT,323.0,72,247.85714285714286
2023-04-19,ADT,322.0,82,263.7142857142857
2023-04-20,ADT,402.0,89,298.57142857142856
2023-04-21,ADT,134.0,51,288.14285714285717
2023-04-22,ADT,154.0,60,271.42857142857144
2023-04-23,ADT,187.0,57,248.57142857142858
2023-04-24,ADT,177.0,57,242.71428571428572
2023-04-25,ADT,119.0,50,213.57142857142858
2023-04-26,ADT,177.0,56,192.85714285714286
2023-04-27,ADT,159.0,61,158.14285714285714
2023-04-28,ADT,245.0,69,174.0
2023-04-29,ADT,332.0,60,199.42857142857142
2023-04-30,ADT,309.0,67,216.85714285714286
2023-05-01,ADT,249.0,57,227.14285714285714
2023-05-02,ADT,164.0,41,233.57142857142858
2023-05-03,ADT,175.0,46,233.28571428571428
2023-05-04,ADT,179.0,55,236.14285714285714
2023-05-05,ADT,238.0,74,235.14285714285714
2023-05-06,ADT,233.0,70,221.0
2023-05-07,ADT,229.0,68,209.57142857142858
2023-05-08,ADT,163.0,57,197.28571428571428
2023-05-09,ADT,168.0,49,197.85714285714286
2023-05-10,ADT,153.0,58,194.71428571428572
2023-05-11,ADT,208.0,66,198.85714285714286
2023-05-12,ADT,247.0,81,200.14285714285714
2023-05-13,ADT,316.0,87,212.0
2023-05-14,ADT,252.0,69,215.28571428571428
2023-05-15,ADT,152.0,53,213.71428571428572
2023-05-16,ADT,187.0,50,216.42857142857142
2023-05-17,ADT,195.0,63,222.42857142857142
2023-05-18,ADT,233.0,66,226.0
2023-05-19,ADT,272.0,69,229.57142857142858
2023-05-20,ADT,276.0,78,223.85714285714286
2023-05-21,ADT,223.0,69,219.71428571428572
2023-05-22,ADT,145.0,61,218.71428571428572
2023-05-23,ADT,165.0,56,215.57142857142858
2023-05-24,ADT,142.0,49,208.0
2023-05-25,ADT,217.0,66,205.71428571428572
2023-05-26,ADT,200.0,65,195.42857142857142
2023-05-27,ADT,258.0,73,192.85714285714286
2023-05-28,ADT,315.0,74,206.0
2023-05-29,ADT,190.0,58,212.42857142857142
2023-05-30,ADT,177.0,55,214.14285714285714
2023-05-31,ADT,182.0,55,219.85714285714286
2023-06-01,ADT,116.0,61,205.42857142857142
2023-06-02,ADT,177.0,55,202.14285714285714
2023-06-03,ADT,299.0,86,208.0
2023-06-04,ADT,260.0,73,200.14285714285714
2023-06-05,ADT,183.0,65,199.14285714285714
2023-06-06,ADT,203.0,59,202.85714285714286
2023-06-07,ADT,162.0,62,200.0
2023-06-08,ADT,183.0,65,209.57142857142858
2023-06-09,ADT,250.0,63,220.0
2023-06-10,ADT,262.0,69,214.71428571428572
2023-06-11,ADT,287.0,77,218.57142857142858
2023-06-12,ADT,189.0,53,219.42857142857142
2023-06-13,ADT,153.0,52,212.28571428571428
2023-06-14,ADT,180.0,54,214.85714285714286
2023-06-15,ADT,203.0,62,217.71428571428572
2023-06-16,ADT,187.0,61,208.71428571428572
2023-06-17,ADT,284.0,78,211.85714285714286
2023-06-18,ADT,285.0,84,211.57142857142858
2023-06-19,ADT,167.0,53,208.42857142857142
2023-06-20,ADT,139.0,51,206.42857142857142
2023-06-21,ADT,169.0,61,204.85714285714286
2023-06-22,ADT,177.0,63,201.14285714285714
2023-06-23,ADT,185.0,59,200.85714285714286
2023-06-24,ADT,227.0,66,192.71428571428572
2023-06-25,ADT,256.0,80,188.57142857142858
2023-06-26,ADT,316.0,79,209.85714285714286
2023-06-27,ADT,351.0,90,240.14285714285714
2023-06-28,ADT,137.0,55,235.57142857142858
2023-06-29,ADT,178.0,63,235.71428571428572
2023-06-30,ADT,226.0,62,241.57142857142858
2023-07-01,ADT,192.0,65,236.57142857142858
2023-07-02,ADT,245.0,64,235.0
2023-07-03,ADT,225.0,65,222.0
2023-07-04,ADT,176.0,69,197.0
2023-07-05,ADT,193.0,55,205.0
2023-07-06,ADT,148.0,65,200.71428571428572
2023-07-07,ADT,182.0,61,194.42857142857142
2023-07-08,ADT,284.0,82,207.57142857142858
2023-07-09,ADT,254.0,78,208.85714285714286
2023-07-10,ADT,179.0,57,202.28571428571428
2023-07-11,ADT,173.0,61,201.85714285714286
2023-07-12,ADT,176.0,61,199.42857142857142
2023-07-13,ADT,205.0,63,207.57142857142858
2023-07-14,ADT,202.0,60,210.42857142857142
2023-07-15,ADT,286.0,81,210.71428571428572
2023-07-16,ADT,259.0,71,211.42857142857142
2023-07-17,ADT,230.0,71,218.71428571428572
2023-07-18,ADT,219.0,76,225.28571428571428
2023-07-19,ADT,161.0,59,223.14285714285714
2023-07-20,ADT,149.0,60,215.14285714285714
2023-07-21,ADT,183.0,72,212.42857142857142
2023-07-22,ADT,253.0,78,207.71428571428572
2023-07-23,ADT,247.0,79,206.0
2023-07-24,ADT,212.0,69,203.42857142857142
2023-07-25,ADT,194.0,57,199.85714285714286
2023-07-26,ADT,165.0,60,200.42857142857142
2023-07-27,ADT,196.0,70,207.14285714285714
2023-07-28,ADT,211.0,68,211.14285714285714
2023-07-29,ADT,234.0,73,208.42857142857142
2023-07-30,ADT,173.0,70,197.85714285714286
2023-07-31,ADT,140.0,55,187.57142857142858
2023-08-01,ADT,162.0,60,183.0
2023-08-02,ADT,228.0,78,192.0
2023-08-03,ADT,149.0,59,185.28571428571428
2023-08-04,ADT,199.0,74,183.57142857142858
2023-08-05,ADT,265.0,72,188.0
2023-08-06,ADT,237.0,63,197.14285714285714
2023-08-07,ADT,205.0,68,206.42857142857142
2023-08-08,ADT,214.0,65,213.85714285714286
2023-08-09,ADT,207.0,68,210.85714285714286
2023-08-10,ADT,134.0,59,208.71428571428572
2023-08-11,ADT,219.0,70,211.57142857142858
2023-08-12,ADT,229.0,77,206.42857142857142
2023-08-13,ADT,191.0,61,199.85714285714286
2023-08-14,ADT,221.0,69,202.14285714285714
2023-08-15,ADT,213.0,67,202.0
2023-08-16,ADT,168.0,61,196.42857142857142
2023-08-17,ADT,191.0,58,204.57142857142858
2023-08-18,ADT,247.0,68,208.57142857142858
2023-08-19,ADT,259.0,75,212.85714285714286
2023-08-20,ADT,300.0,85,228.42857142857142
2023-08-21,ADT,203.0,65,225.85714285714286
2023-08-22,ADT,178.0,65,220.85714285714286
2023-08-23,ADT,196.0,74,224.85714285714286
2023-08-24,ADT,205.0,72,226.85714285714286
2023-08-25,ADT,164.0,61,215.0
2023-08-26,ADT,234.0,79,211.42857142857142
2023-08-27,ADT,276.0,81,208.0
2023-08-28,ADT,190.0,70,206.14285714285714
2023-08-29,ADT,206.0,74,210.14285714285714
2023-08-30,ADT,233.0,67,215.42857142857142
2023-08-31,ADT,210.0,72,216.14285714285714
2023-09-01,ADT,201.0,70,221.42857142857142
2023-09-02,ADT,209.0,66,217.85714285714286
2023-09-03,ADT,200.0,70,207.0
2023-09-04,ADT,167.0,63,203.71428571428572
2023-09-05,ADT,167.0,68,198.14285714285714
2023-09-06,ADT,165.0,59,188.42857142857142
2023-09-07,ADT,172.0,63,183.0
2023-09-08,ADT,236.0,77,188.0
2023-09-09,ADT,261.0,82,195.42857142857142
2023-09-10,ADT,342.0,91,215.71428571428572
2023-09-11,ADT,201.0,69,220.57142857142858
2023-09-12,ADT,219.0,73,228.0
2023-09-13,ADT,187.0,60,231.14285714285714
2023-09-14,ADT,189.0,73,233.57142857142858
2023-09-15,ADT,184.0,64,226.14285714285714
2023-09-16,ADT,239.0,71,223.0
2023-09-17,ADT,308.0,81,218.14285714285714
2023-09-18,ADT,193.0,51,217.0
2023-09-19,ADT,247.0,60,221.0
2023-09-20,ADT,210.0,63,224.28571428571428
2023-09-21,ADT,190.0,60,224.42857142857142
2023-09-22,ADT,205.0,58,227.42857142857142
2023-09-23,ADT,288.0,78,234.42857142857142
2023-09-24,ADT,273.0,84,229.42857142857142
2023-09-25,ADT,170.0,53,226.14285714285714
2023-09-26,ADT,172.0,57,215.42857142857142
2023-09-27,ADT,230.0,59,218.28571428571428
2023-09-28,ADT,176.0,59,216.28571428571428
2023-09-29,ADT,215.0,66,217.71428571428572
2023-09-30,ADT,289.0,73,217.85714285714286
2023-10-01,ADT,320.0,79,224.57142857142858
2023-10-02,ADT,162.0,54,223.42857142857142
2023-10-03,ADT,189.0,58,225.85714285714286
2023-10-04,ADT,164.0,48,216.42857142857142
2023-10-05,ADT,212.0,70,221.57142857142858
2023-10-06,ADT,219.0,67,222.14285714285714
2023-10-07,ADT,241.0,78,215.28571428571428
2023-10-08,ADT,291.0,75,211.14285714285714
2023-10-09,ADT,184.0,60,214.28571428571428
2023-10-10,ADT,212.0,61,217.57142857142858
2023-10-11,ADT,151.0,62,215.71428571428572
2023-10-12,ADT,158.0,64,208.0
2023-10-13,ADT,246.0,66,211.85714285714286
2023-10-14,ADT,335.0,73,225.28571428571428
2023-10-15,ADT,331.0,65,231.0
2023-10-16,ADT,206.0,65,234.14285714285714
2023-10-17,ADT,248.0,67,239.28571428571428
2023-10-18,ADT,220.0,53,249.14285714285714
2023-10-19,ADT,207.0,55,256.14285714285717
2023-10-20,ADT,163.0,58,244.28571428571428
2023-10-21,ADT,252.0,74,232.42857142857142
2023-10-22,ADT,403.0,71,242.71428571428572
2023-10-23,ADT,216.0,53,244.14285714285714
2023-10-24,ADT,338.0,64,257.0
2023-10-25,ADT,184.0,47,251.85714285714286
2023-10-26,ADT,253.0,69,258.42857142857144
2023-10-27,ADT,253.0,61,271.2857142857143
2023-10-28,ADT,297.0,68,277.7142857142857
2023-10-29,ADT,268.0,79,258.42857142857144
2023-10-30,ADT,239.0,65,261.7142857142857
2023-10-31,ADT,196.0,67,241.42857142857142
2023-11-01,ADT,222.0,63,246.85714285714286
2023-11-02,ADT,229.0,77,243.42857142857142
2023-11-03,ADT,219.0,65,238.57142857142858
2023-11-04,ADT,282.0,82,236.42857142857142
2023-11-05,ADT,359.0,81,249.42857142857142
2023-11-06,ADT,177.0,63,240.57142857142858
2023-11-07,ADT,166.0,65,236.28571428571428
2023-11-08,ADT,168.0,61,228.57142857142858
2023-11-09,ADT,156.0,51,218.14285714285714
2023-11-10,ADT,194.0,54,214.57142857142858
2023-11-11,ADT,301.0,73,217.28571428571428
2023-11-12,ADT,293.0,78,207.85714285714286
2023-11-13,ADT,212.0,62,212.85714285714286
2023-11-14,ADT,214.0,57,219.71428571428572
2023-11-15,ADT,168.0,64,219.71428571428572
2023-11-16,ADT,209.0,69,227.28571428571428
2023-11-17,ADT,164.0,53,223.0
2023-11-18,ADT,303.0,81,223.28571428571428
2023-11-19,ADT,333.0,70,229.0
2023-11-20,ADT,217.0,64,229.71428571428572
2023-11-21,ADT,217.0,58,230.14285714285714
2023-11-22,ADT,202.0,62,235.0
2023-11-23,ADT,237.0,54,239.0
2023-11-24,ADT,215.0,54,246.28571428571428
2023-11-25,ADT,345.0,85,252.28571428571428
2023-11-26,ADT,311.0,77,249.14285714285714
2023-11-27,ADT,229.0,70,250.85714285714286
2023-11-28,ADT,237.0,72,253.71428571428572
2023-11-29,ADT,189.0,54,251.85714285714286
2023-11-30,ADT,232.0,70,251.14285714285714
2023-12-01,ADT,167.0,61,244.28571428571428
2023-12-02,ADT,270.0,79,233.57142857142858
2023-12-03,ADT,258.0,70,226.0
2023-12-04,ADT,163.0,67,216.57142857142858
2023-12-05,ADT,135.0,50,202.0
2023-12-06,ADT,199.0,74,203.42857142857142
2023-12-07,ADT,158.0,71,192.85714285714286
2023-12-08,ADT,209.0,67,198.85714285714286
2023-12-09,ADT,285.0,84,201.0
2023-12-10,ADT,234.0,80,197.57142857142858
2023-12-11,ADT,173.0,75,199.0
2023-12-12,ADT,194.0,59,207.42857142857142
2023-12-13,ADT,166.0,62,202.71428571428572
2023-12-14,ADT,133.0,51,199.14285714285714
2023-12-15,ADT,180.0,67,195.0
2023-12-16,ADT,263.0,79,191.85714285714286
2023-12-17,ADT,309.0,78,202.57142857142858
2023-12-18,ADT,207.0,65,207.42857142857142
2023-12-19,ADT,205.0,66,209.0
2023-12-20,ADT,230.0,66,218.14285714285714
2023-12-21,ADT,197.0,66,227.28571428571428
2023-12-22,ADT,185.0,68,228.0
2023-12-23,ADT,288.0,82,231.57142857142858
