product_id,product_name,unit,first_sale,last_sale,active_sales_days,total_quantity,mean_positive_quantity,median_positive_quantity,max_positive_quantity,history_days,active_ratio,days_since_last_sale,segment
10002013,DANA KONTRAFILE BIFTEK KG,KG,2023-01-01,2026-07-20,1065,1488.17,1.3973427230046949,1.016,21.15,1297,0.8211256746337703,1,continuous
10002014,DANA DOS KIYMALIK ET KG,KG,2023-01-01,2026-07-21,1297,22633.054,17.450311488049344,14.749,94.066,1298,0.9992295839753467,0,continuous
10002015,DANA TASKEBAPLIK BUT ETI KG,KG,2023-01-01,2026-07-21,1179,3624.161,3.0739279050042407,2.25,18.854,1298,0.9083204930662557,0,continuous
10002017,DANA IZGARA BIFTEK BUT ETI  KG,KG,2023-01-10,2026-07-19,673,576.15,0.8560921248142644,0.65,5.956,1287,0.5229215229215229,2,continuous
10002025,DANA SOTELIK BUT ETI KG,KG,2023-01-01,2026-07-21,1271,5605.886,4.410610542879622,3.596,31.384,1298,0.9791987673343605,0,continuous
10002030,DANA NUAR BUT ETI KG,KG,2023-02-12,2026-07-15,300,359.0,1.1966666666666668,0.859,11.195,1250,0.24,6,intermittent
10002032,DANA INCIK KEMIKSIZ HASLAMALIK ET KG,KG,2023-01-02,2026-07-21,578,725.726,1.2555813148788928,1.028,5.378,1297,0.4456437933693138,0,intermittent
10002038,DANA ANTRIKOT BIFTEK KG,KG,2023-01-01,2026-07-21,1226,3628.315,2.959473898858075,2.2809999999999997,25.91,1298,0.9445300462249615,0,continuous
10002041,DANA ORTA YAGLI KUSBASI KG,KG,2023-01-01,2026-07-21,1168,3617.414,3.0971010273972603,2.443,32.342,1298,0.8998459167950693,0,continuous
10002042,DANA BONFILE KG,KG,2023-01-01,2026-07-21,966,3948.756,4.087739130434782,1.44,51.382,1298,0.7442218798151001,0,continuous
10002044,DANA BIFSTRONGONOFLUK BUT ETI KG,KG,2023-01-02,2026-07-21,807,1016.329,1.2593915737298635,0.998,10.656,1297,0.6222050886661527,0,continuous
10002052,DANA OSSO BUCCO KG,KG,2023-01-03,2026-07-11,95,71.984,0.7577263157894736,0.77,1.812,1286,0.07387247278382582,10,sparse
10002053,DANA GUNGORMEZ KG,KG,2023-01-01,2026-07-20,239,124.48,0.520836820083682,0.41,2.5,1297,0.18427139552814187,1,intermittent
10002055,DANA ROSTOLUK ET KG,KG,2023-01-05,2026-06-22,308,304.368,0.9882077922077922,0.773,11.175,1265,0.24347826086956523,29,intermittent
10002056,DANA SOKUM SISLIK BUT ETI KG,KG,2023-02-08,2026-06-19,40,192.023,4.800575,5.1259999999999994,30.0,1228,0.03257328990228013,32,sparse
10002058,DONER ETI KG %25 KUZU/%75 DANA,KG,2023-01-27,2026-05-21,9,2.3440000000000003,0.2604444444444445,0.26,0.336,1211,0.007431874483897605,61,sparse
10002059,$DANA (OTEL) TRANC KG,KG,2023-04-19,2023-04-19,1,0.32,0.32,0.32,0.32,1,1.0,1189,new_short_history
10002061,DANA-KUZU KARISIK OZEL KIYMA KG,KG,2023-01-01,2026-07-21,1293,9787.482,7.569591647331786,6.69,29.442,1298,0.9961479198767335,0,continuous
10002065,DANA TRANC KG,KG,2023-01-01,2026-07-19,900,1581.855,1.7576166666666666,1.251,8.964,1296,0.6944444444444444,2,continuous
10002071,DANA AZ YAGLI KIYMALIK ET KG,KG,2023-01-01,2026-07-21,1297,16535.465,12.749009252120278,10.406,98.958,1298,0.9992295839753467,0,continuous
10002072,$HIZMET KEMIKSIZ ET KIYMA CEKME KG,KG,2025-10-10,2025-10-10,1,1.006,1.006,1.006,1.006,1,1.0,284,new_short_history
10002073,DANA KUZU KIYMALIK ET KG,KG,2025-12-09,2025-12-21,2,5.13,2.565,2.565,4.124,13,0.15384615384615385,212,new_short_history
10002076,$KIYMA TAB.DANA KG (SIGIR ICINN),KG,2023-04-02,2025-04-14,2,2.316,1.158,1.158,1.764,744,0.002688172043010753,463,possibly_inactive
10002082,KOFTE KASAP KG,KG,2023-01-01,2026-07-21,1297,9599.988,7.4016869699306085,5.634,80.146,1298,0.9992295839753467,0,continuous
10002088,KEBAP ACILI SIS KG,KG,2023-01-01,2026-07-21,1063,1295.304,1.2185362182502353,1.014,5.56,1298,0.8189522342064715,0,continuous
10002089,KEBAP ACISIZ SIS KG,KG,2023-01-01,2026-07-21,1077,1386.666,1.2875264623955431,1.028,7.312,1298,0.8297380585516179,0,continuous
10002090,KOFTE INEGOL KG,KG,2023-01-02,2026-07-21,888,1833.664,2.064936936936937,1.506,10.336,1297,0.6846569005397071,0,continuous
10002093,BOLCA HINDI BUTUN KG,KG,2023-12-22,2025-12-31,28,583.454,20.837642857142857,16.949,88.536,741,0.037786774628879895,202,possibly_inactive
10002097,YILBASI HINDI BUTUN  BOLCA KG,KG,2023-01-01,2023-01-01,1,6.13,6.13,6.13,6.13,1,1.0,1297,new_short_history
10002098,$BANVIT HINDI BOYUN BUTUN KG 308,KG,2023-01-19,2023-04-01,24,86.129,3.5887083333333334,3.1,8.898,73,0.3287671232876712,1207,possibly_inactive
10002116,$BANVIT HINDI BAGET KG 257,KG,2023-01-10,2023-04-05,52,104.498,2.0095769230769234,1.5710000000000002,7.45,86,0.6046511627906976,1203,possibly_inactive
10002118,$BANVIT HINDI IZGARA TAVA KG 319,KG,2023-01-13,2023-04-03,49,76.914,1.5696734693877552,1.472,4.054,81,0.6049382716049383,1205,possibly_inactive
10002121,$BANVIT HINDI BUT BUTUN DERISIZ KG 6623,KG,2023-01-14,2023-04-05,30,54.59,1.8196666666666668,1.549,5.416,82,0.36585365853658536,1203,possibly_inactive
10002128,$BANVIT HINDI GOGUS KG 254,KG,2023-01-14,2023-04-05,60,85.38,1.4229999999999998,1.026,5.376,82,0.7317073170731707,1203,possibly_inactive
10002129,$BANVIT HINDI YAPRAK KANAT KG 6782,KG,2023-01-10,2023-04-02,41,73.23,1.7860975609756098,1.614,5.118,83,0.4939759036144578,1206,possibly_inactive
10002134,$BANVIT HINDI PIRZOLA KG 302,KG,2023-01-14,2023-04-04,37,118.029,3.189972972972973,1.904,11.56,81,0.4567901234567901,1204,possibly_inactive
10002135,$BANVIT HINDI KOK KANAT KG 355,KG,2023-01-10,2023-04-02,52,160.796,3.092230769230769,3.0250000000000004,10.946,83,0.6265060240963856,1206,possibly_inactive
10002137,$BANVIT HINDI CIGER KG 6794,KG,2023-01-10,2023-04-05,25,22.84,0.9136,0.936,1.676,86,0.29069767441860467,1203,possibly_inactive
10002138,$BANVIT HINDI YUREK KG 6860,KG,2023-01-01,2023-03-31,35,52.339999999999996,1.4954285714285713,1.146,3.908,90,0.3888888888888889,1208,possibly_inactive
10002142,MARET PRATIK FUME HINDI 60 G,ADT,2023-01-02,2026-07-20,334,769.0,2.302395209580838,2.0,23.0,1296,0.25771604938271603,1,intermittent
10002144,PINAR FUME HINDI 60 G,ADT,2023-07-03,2026-07-21,512,1190.0,2.32421875,2.0,12.0,1115,0.4591928251121076,0,intermittent
10002147,NAMET FUME HINDI 200 G PKT,ADT,2023-01-06,2026-07-19,664,1529.0,2.302710843373494,2.0,13.0,1291,0.5143299767621998,2,continuous
