unit,target,model,threshold,fit_seconds,pr_auc,precision,recall,f1,brier,positive_prediction_rate,mae,rmse,wape,bias
KG,occurrence,historical_frequency_baseline,0.35999999999999993,0.0,0.8335109359658098,0.718367889420521,0.8514492753623188,0.7792675893886967,0.1436185443565181,0.525859658932066,,,,
KG,occurrence,logistic_regression,0.5099999999999999,0.4990722080000003,0.8556114496317461,0.7347552638774952,0.8465658475110271,0.7867076562728736,0.1430740863761918,0.5111825552138664,,,,
KG,occurrence,hist_gradient_boosting,0.4699999999999999,3.3059618749999995,0.8642580358875698,0.7327294849263215,0.8538122243226213,0.7886504183339396,0.1370718570668808,0.5169835057310596,,,,
KG,occurrence,extra_trees,0.4599999999999999,4.719333083,0.8647827660712948,0.7236339697169191,0.8657844990548205,0.7883525783547299,0.13740970007299227,0.5308219178082192,,,,
KG,quantity_positive,rolling_mean_28_baseline,,0.0,,,,,,,3.29279180731839,24.290854521617202,0.6449258800122114,-1.6095056091907463
KG,quantity_positive,hist_gradient_boosting_poisson,,1.533427833000001,,,,,,,2.9611534844171943,22.71956972296737,0.57997123065738,-0.8025194304129821
KG,quantity_positive,extra_trees,,1.6536769160000002,,,,,,,3.037985947337166,22.484537460520325,0.5950196292995408,-0.7571490066107688
KG,end_to_end,extra_trees+hist_gradient_boosting_poisson,0.4599999999999999,,,,,,,,1.809554203712025,16.19553707433933,0.7988387848612161,-0.06662468310577803
ADT,occurrence,historical_frequency_baseline,0.29,0.0,0.628189199056207,0.5240339302544769,0.7540261061196813,0.6183359977757698,0.18290400076114363,0.49463869463869464,,,,
ADT,occurrence,logistic_regression,0.4699999999999999,0.5617129589999994,0.677694809001344,0.5524501817270334,0.7472452958128496,0.6352500360282461,0.19293098685203516,0.46497668997668995,,,,
ADT,occurrence,hist_gradient_boosting,0.4699999999999999,3.1550351669999976,0.6887240732753952,0.5571500503524672,0.7502966604509239,0.6394567651520624,0.18705143361980453,0.46293706293706294,,,,
ADT,occurrence,extra_trees,0.4599999999999999,5.36262,0.6864277217469559,0.5586294416243655,0.7462281742668249,0.638943319544234,0.18451381471786021,0.4592074592074592,,,,
ADT,quantity_positive,rolling_mean_28_baseline,,0.0,,,,,,,2.179237401012278,4.679934832749499,0.6383296801515184,-1.0642057975928123
ADT,quantity_positive,hist_gradient_boosting_poisson,,1.4175314160000028,,,,,,,2.019123723544871,4.557155290527389,0.5914301030434082,0.1621923072243606
ADT,quantity_positive,extra_trees,,1.611493000000003,,,,,,,2.058882902206525,4.37495511369079,0.6030761328822827,0.32197298542958663
ADT,end_to_end,hist_gradient_boosting+hist_gradient_boosting_poisson,0.4699999999999999,,,,,,,,1.3625358599876558,3.209169368954868,1.1609869088528812,0.5004837952958335
