product_id,product_name,unit,first_sale,last_sale,positive_sales_days,total_quantity,median_positive_quantity,history_days,active_ratio,days_since_last_sale,current_status,segment
10002013,DANA KONTRAFILE BIFTEK KG,KG,2023-01-01,2026-07-20,1065,1488.17,1.016,1297,0.8211256746337703,1,active,continuous
10002014,DANA DOS KIYMALIK ET KG,KG,2023-01-01,2026-07-21,1297,22633.054,14.749,1298,0.9992295839753467,0,active,continuous
10002015,DANA TASKEBAPLIK BUT ETI KG,KG,2023-01-01,2026-07-21,1179,3624.161,2.25,1298,0.9083204930662557,0,active,continuous
10002017,DANA IZGARA BIFTEK BUT ETI  KG,KG,2023-01-10,2026-07-19,673,576.15,0.65,1287,0.5229215229215229,2,active,continuous
10002025,DANA SOTELIK BUT ETI KG,KG,2023-01-01,2026-07-21,1271,5605.886,3.596,1298,0.9791987673343605,0,active,continuous
10002030,DANA NUAR BUT ETI KG,KG,2023-02-12,2026-07-15,300,359.0,0.859,1250,0.24,6,active,intermittent
10002032,DANA INCIK KEMIKSIZ HASLAMALIK ET KG,KG,2023-01-02,2026-07-21,578,725.726,1.028,1297,0.4456437933693138,0,active,intermittent
10002038,DANA ANTRIKOT BIFTEK KG,KG,2023-01-01,2026-07-21,1226,3628.315,2.2809999999999997,1298,0.9445300462249615,0,active,continuous
10002041,DANA ORTA YAGLI KUSBASI KG,KG,2023-01-01,2026-07-21,1168,3617.414,2.443,1298,0.8998459167950693,0,active,continuous
10002042,DANA BONFILE KG,KG,2023-01-01,2026-07-21,966,3948.756,1.44,1298,0.7442218798151001,0,active,continuous
10002044,DANA BIFSTRONGONOFLUK BUT ETI KG,KG,2023-01-02,2026-07-21,807,1016.329,0.998,1297,0.6222050886661527,0,active,continuous
10002052,DANA OSSO BUCCO KG,KG,2023-01-03,2026-07-11,95,71.984,0.77,1286,0.07387247278382582,10,active,sparse
10002053,DANA GUNGORMEZ KG,KG,2023-01-01,2026-07-20,239,124.48,0.41,1297,0.18427139552814187,1,active,intermittent
10002055,DANA ROSTOLUK ET KG,KG,2023-01-05,2026-06-22,308,304.368,0.773,1265,0.24347826086956523,29,active,intermittent
10002056,DANA SOKUM SISLIK BUT ETI KG,KG,2023-02-08,2026-06-19,40,192.023,5.1259999999999994,1228,0.03257328990228013,32,active,sparse
10002058,DONER ETI KG %25 KUZU/%75 DANA,KG,2023-01-27,2026-05-21,9,2.3440000000000003,0.26,1211,0.007431874483897605,61,active,sparse
10002059,$DANA (OTEL) TRANC KG,KG,2023-04-19,2023-04-19,1,0.32,0.32,1,1.0,1189,possibly_inactive,new_short_history
10002061,DANA-KUZU KARISIK OZEL KIYMA KG,KG,2023-01-01,2026-07-21,1293,9787.482,6.69,1298,0.9961479198767335,0,active,continuous
10002065,DANA TRANC KG,KG,2023-01-01,2026-07-19,900,1581.855,1.251,1296,0.6944444444444444,2,active,continuous
10002071,DANA AZ YAGLI KIYMALIK ET KG,KG,2023-01-01,2026-07-21,1297,16535.465,10.406,1298,0.9992295839753467,0,active,continuous
10002072,$HIZMET KEMIKSIZ ET KIYMA CEKME KG,KG,2025-10-10,2025-10-10,1,1.006,1.006,1,1.0,284,possibly_inactive,new_short_history
10002073,DANA KUZU KIYMALIK ET KG,KG,2025-12-09,2025-12-21,2,5.13,2.565,13,0.15384615384615385,212,possibly_inactive,new_short_history
10002076,$KIYMA TAB.DANA KG (SIGIR ICINN),KG,2023-04-02,2025-04-14,2,2.316,1.158,744,0.002688172043010753,463,possibly_inactive,possibly_inactive
10002082,KOFTE KASAP KG,KG,2023-01-01,2026-07-21,1297,9599.988,5.634,1298,0.9992295839753467,0,active,continuous
10002088,KEBAP ACILI SIS KG,KG,2023-01-01,2026-07-21,1063,1295.304,1.014,1298,0.8189522342064715,0,active,continuous
10002089,KEBAP ACISIZ SIS KG,KG,2023-01-01,2026-07-21,1077,1386.666,1.028,1298,0.8297380585516179,0,active,continuous
10002090,KOFTE INEGOL KG,KG,2023-01-02,2026-07-21,888,1833.664,1.506,1297,0.6846569005397071,0,active,continuous
10002093,BOLCA HINDI BUTUN KG,KG,2023-12-22,2025-12-31,28,583.454,16.949,741,0.037786774628879895,202,possibly_inactive,possibly_inactive
10002097,YILBASI HINDI BUTUN  BOLCA KG,KG,2023-01-01,2023-01-01,1,6.13,6.13,1,1.0,1297,possibly_inactive,new_short_history
10002098,$BANVIT HINDI BOYUN BUTUN KG 308,KG,2023-01-19,2023-04-01,24,86.129,3.1,73,0.3287671232876712,1207,possibly_inactive,possibly_inactive
10002116,$BANVIT HINDI BAGET KG 257,KG,2023-01-10,2023-04-05,52,104.498,1.5710000000000002,86,0.6046511627906976,1203,possibly_inactive,possibly_inactive
10002118,$BANVIT HINDI IZGARA TAVA KG 319,KG,2023-01-13,2023-04-03,49,76.914,1.472,81,0.6049382716049383,1205,possibly_inactive,possibly_inactive
10002121,$BANVIT HINDI BUT BUTUN DERISIZ KG 6623,KG,2023-01-14,2023-04-05,30,54.59,1.549,82,0.36585365853658536,1203,possibly_inactive,possibly_inactive
10002128,$BANVIT HINDI GOGUS KG 254,KG,2023-01-14,2023-04-05,60,85.38,1.026,82,0.7317073170731707,1203,possibly_inactive,possibly_inactive
10002129,$BANVIT HINDI YAPRAK KANAT KG 6782,KG,2023-01-10,2023-04-02,41,73.23,1.614,83,0.4939759036144578,1206,possibly_inactive,possibly_inactive
10002134,$BANVIT HINDI PIRZOLA KG 302,KG,2023-01-14,2023-04-04,37,118.029,1.904,81,0.4567901234567901,1204,possibly_inactive,possibly_inactive
10002135,$BANVIT HINDI KOK KANAT KG 355,KG,2023-01-10,2023-04-02,52,160.796,3.0250000000000004,83,0.6265060240963856,1206,possibly_inactive,possibly_inactive
10002137,$BANVIT HINDI CIGER KG 6794,KG,2023-01-10,2023-04-05,25,22.84,0.936,86,0.29069767441860467,1203,possibly_inactive,possibly_inactive
10002138,$BANVIT HINDI YUREK KG 6860,KG,2023-01-01,2023-03-31,35,52.339999999999996,1.146,90,0.3888888888888889,1208,possibly_inactive,possibly_inactive
10002142,MARET PRATIK FUME HINDI 60 G,ADT,2023-01-02,2026-07-20,334,769.0,2.0,1296,0.25771604938271603,1,active,intermittent
10002144,PINAR FUME HINDI 60 G,ADT,2023-07-03,2026-07-21,512,1190.0,2.0,1115,0.4591928251121076,0,active,intermittent
10002147,NAMET FUME HINDI 200 G PKT,ADT,2023-01-06,2026-07-19,664,1529.0,2.0,1291,0.5143299767621998,2,active,continuous
10002151,ERSAN FUME ET 120 G,ADT,2023-01-01,2026-07-21,346,541.0,1.0,1298,0.2665639445300462,0,active,intermittent
10002159,NAMET FUME ET DANA KABURGA 130 G,ADT,2024-09-28,2024-12-01,12,14.0,1.0,65,0.18461538461538463,597,possibly_inactive,possibly_inactive
10002164,ERSAN KURU ET 100 G,ADT,2023-01-01,2025-09-19,140,166.0,1.0,993,0.14098690835850958,305,possibly_inactive,possibly_inactive
10002169,$POLONEZ MINI FUME HINDI 60 G,ADT,2023-01-01,2023-03-31,89,844.0,7.0,90,0.9888888888888889,1208,possibly_inactive,possibly_inactive
10002171,NAMET 7/24 FUME HINDI 60 G,ADT,2023-01-01,2026-07-21,1247,18971.0,14.0,1298,0.960708782742681,0,active,continuous
10002176,POLONEZ FUME DANA DIL  KG,KG,2023-01-02,2026-07-12,282,80.016,0.217,1288,0.21894409937888198,9,active,intermittent
10002177,POLONEZ FUME ET DANA KG (BIBERLI+KEKILI),KG,2023-01-07,2026-07-21,540,145.49,0.2,1292,0.4179566563467492,0,active,intermittent
10002178,$POLONEZ FUME HINDI  KG,KG,2023-01-01,2024-02-03,17,5.46,0.232,399,0.042606516290726815,899,possibly_inactive,possibly_inactive
10002186,$POLONEZ FUME DANA KEKIKLI KG,KG,2023-01-01,2024-02-23,69,15.396,0.172,419,0.16467780429594273,879,possibly_inactive,possibly_inactive
10002190,$YAYLATURK HINDI BUT FUME KG,KG,2024-02-02,2024-11-16,2,0.008,0.004,289,0.006920415224913495,612,possibly_inactive,possibly_inactive
10002192,$POLONEZ MINI JAMBON HINDI 60 G,ADT,2023-01-02,2023-04-17,68,215.0,2.0,106,0.6415094339622641,1191,possibly_inactive,possibly_inactive
10002194,$POLONEZ MINI JAMBON DANA 60 G,ADT,2023-01-01,2023-03-23,70,309.0,3.0,82,0.8536585365853658,1216,possibly_inactive,possibly_inactive
10002197,$NAMET JAMBON DANA DILIMLI 150 G,ADT,2023-01-23,2023-03-28,8,8.0,1.0,65,0.12307692307692308,1211,possibly_inactive,possibly_inactive
10002204,NAMET 7/24 JAMBON DANA 50 G,ADT,2023-01-01,2026-07-20,687,1673.0,2.0,1297,0.5296838858905166,1,active,continuous
10002208,$ERSAN JAMBON DANA KG,KG,2023-03-22,2023-04-26,8,2.5180000000000002,0.211,36,0.2222222222222222,1182,possibly_inactive,possibly_inactive
10002210,NAMET JAMBON DANA BLOK KG,KG,2023-01-06,2024-08-22,28,7.6,0.207,595,0.047058823529411764,698,possibly_inactive,possibly_inactive
10002216,POLONEZ JAMBON DANA KG,KG,2023-01-02,2026-07-21,603,208.146,0.27,1297,0.46491904394757133,0,active,intermittent
10002221,$BAN.JAMBON PILIC KG,KG,2023-07-11,2024-11-30,3,0.009000000000000001,0.003,509,0.005893909626719057,598,possibly_inactive,possibly_inactive
10002223,$POLONEZ KAVURMA 200 G,ADT,2023-01-22,2024-08-31,57,69.0,1.0,588,0.09693877551020408,689,possibly_inactive,possibly_inactive
10002227,NAMET KAVURMA 150 G,ADT,2025-09-27,2026-07-13,16,25.0,1.0,290,0.05517241379310345,8,active,sparse
10002230,POLONEZ KAVURMA BLOK KG,KG,2023-01-02,2026-07-21,547,227.226,0.268,1297,0.4217424826522745,0,active,intermittent
10002236,$ERSAN KAVURMA BLOK KG,KG,2023-08-12,2024-07-23,15,2.666,0.21,347,0.043227665706051875,728,possibly_inactive,possibly_inactive
10002237,NAMET KAVURMA BLOK KG,KG,2023-01-01,2025-02-07,54,9.484,0.159,769,0.07022106631989597,529,possibly_inactive,possibly_inactive
10002238,DANET KAVURMA KG (250-300G VAK.PKT),KG,2023-03-04,2026-06-27,195,74.887,0.284,1212,0.1608910891089109,24,active,intermittent
10002239,A.IPEK KAVURMA BLOK KG,KG,2023-01-01,2023-03-04,14,4.19,0.28600000000000003,63,0.2222222222222222,1235,possibly_inactive,possibly_inactive
10002243,A.IPEK PASTIRMA CEMENLI 100 G,ADT,2026-04-12,2026-07-21,48,91.0,1.5,101,0.4752475247524752,0,active,intermittent
10002250,DANET PASTIRMA KONTRAFILE 100G,ADT,2023-03-04,2024-03-22,90,130.0,1.0,385,0.23376623376623376,851,possibly_inactive,possibly_inactive
10002254,$ERSAN PASTIRMA SECME 120 G,ADT,2023-01-06,2023-07-10,19,23.0,1.0,186,0.10215053763440861,1107,possibly_inactive,possibly_inactive
10002255,$NAMET PASTIRMA DILIMLI CEMENSIZ 130 G,ADT,2023-01-01,2025-08-07,61,78.0,1.0,950,0.06421052631578947,348,possibly_inactive,possibly_inactive
10002260,$YASIN PASTIRMA KUSGONU KG(90-130 G),KG,2026-03-12,2026-03-12,1,0.002,0.002,1,1.0,131,possibly_inactive,new_short_history
10002263,POLONEZ PASTIRMA ANTRIKOT KG,KG,2023-01-01,2026-07-21,920,581.188,0.463,1298,0.7087827426810478,0,active,continuous
10002264,NAMET PASTIRMA ANTRIKOT KG,KG,2023-03-16,2025-07-07,4,0.008,0.002,845,0.004733727810650888,379,possibly_inactive,possibly_inactive
10002267,POLONEZ PASTIRMA SECME KG,KG,2023-01-02,2026-07-21,826,445.836,0.39,1297,0.6368542791056284,0,active,continuous
10002268,$YASIN PASTIRMA SECME KG(DILIM 90-130 G,KG,2025-01-04,2025-01-04,1,0.118,0.118,1,1.0,563,possibly_inactive,new_short_history
10002269,POLONEZ PASTIRMA KONTRAFILE KG,KG,2023-01-01,2026-05-14,624,423.74,0.488,1230,0.5073170731707317,68,active,continuous
10002270,DANET PASTIRMA SIRT BLOK KG,KG,2023-03-09,2026-05-01,77,27.466,0.296,1150,0.06695652173913043,81,active,sparse
10002274,YEMEKLIK PASTIRMA KG,KG,2023-01-25,2024-08-07,44,9.216,0.172,561,0.0784313725490196,713,possibly_inactive,possibly_inactive
10002279,MARET PRATIK SALAM HINDI 60 G,ADT,2023-01-03,2026-07-21,169,340.0,1.0,1296,0.13040123456790123,0,active,intermittent
10002283,LEZITA P.SALAM BATON 800 G,ADT,2023-01-01,2026-07-20,792,2327.0,2.0,1297,0.6106399383191982,1,active,continuous
10002286,PINAR SALAM DOYUM (HINDI) 225 G,ADT,2024-11-21,2026-07-13,187,243.0,1.0,600,0.31166666666666665,8,active,intermittent
