unit,segment,rows,products,mae,rmse,wape,bias
KG,continuous,6034,72,3.030150792262483,6.680535337049399,0.8215960098658325,0.4063903590462663
KG,intermittent,5052,61,0.49817095686376445,1.5841608757439247,1.40441670353863,0.061625259312638306
KG,new_short_history,253,10,0.0,0.0,,0.0
KG,possibly_inactive,429,11,0.254274506316425,1.0478842197750466,,0.254274506316425
KG,sparse,1396,17,1.1467585959885387,15.72711460349395,1.0,-1.1467585959885387
ADT,continuous,4917,61,2.318421173140352,3.44032160775362,0.9725027220893288,0.9148387371680418
ADT,intermittent,10014,126,0.6904290416613128,1.640301530405904,1.494263328981281,0.02262695119997441
ADT,new_short_history,141,7,0.0,0.0,,0.0
ADT,possibly_inactive,754,18,0.5220156944444941,2.237405247154737,,0.5220156944444941
ADT,sparse,1756,23,0.29550294341309946,1.5469253238065293,0.8236558232276232,-0.1739182037275048
