unit,weather_condition,condition_days,comparison_days,condition_mean_total_demand,comparison_mean_total_demand,mean_total_demand_ratio,condition_mean_products_with_demand,comparison_mean_products_with_demand,observed_start,observed_end
KG,rainy_1mm_plus,426,870,298.13039201877933,282.02563793103445,1.0571038654708516,74.74882629107981,70.53908045977012,2023-01-01,2026-07-20
KG,heavy_rain_10mm_plus,110,1186,314.3659272727273,284.8107925801012,1.1037711191520732,77.94545454545455,71.36424957841484,2023-01-01,2026-07-20
KG,snow_day,68,1228,334.7494117647059,284.69290879478825,1.1758263076584012,79.44117647058823,71.50651465798046,2023-01-01,2026-07-20
KG,hot_30c_plus,245,1051,259.09334693877554,293.89912654614653,0.8815723611825502,65.56326530612245,73.40532825880115,2023-01-01,2026-07-20
KG,cold_below_10c,121,1175,321.29576859504135,283.82048,1.1320387048709148,77.49586776859505,71.34893617021277,2023-01-01,2026-07-20
KG,sunny_dry,528,768,280.73216287878785,291.8480078125,0.9619122123977163,69.06628787878788,73.88671875,2023-01-01,2026-07-20
ADT,rainy_1mm_plus,426,870,271.59389671361504,251.51149425287358,1.0798468575776115,71.71830985915493,68.15057471264367,2023-01-01,2026-07-20
ADT,heavy_rain_10mm_plus,110,1186,283.1909090909091,255.7866779089376,1.1071370542281629,73.6,68.92664418212479,2023-01-01,2026-07-20
ADT,snow_day,68,1228,303.0882352941176,255.62214983713355,1.1856884682615592,73.72058823529412,69.07980456026058,2023-01-01,2026-07-20
ADT,hot_30c_plus,245,1051,235.2,263.45385347288294,0.8927559680739644,68.26122448979592,69.5708848715509,2023-01-01,2026-07-20
ADT,cold_below_10c,121,1175,292.8099173553719,254.5395744680851,1.1503512487881733,71.86776859504133,69.06127659574469,2023-01-01,2026-07-20
ADT,sunny_dry,528,768,242.96401515151516,268.52734375,0.9048017671441148,68.03219696969697,70.2109375,2023-01-01,2026-07-20
